replication,avg_driving_time
1,376.85815304318544
2,374.8238813516474
3,376.22015361496074
4,375.7186194216948
5,374.27043551088775
6,374.07067431612205
7,375.0689199239732
8,377.0031118587048
9,374.82646619039707
10,376.9067572043723
11,373.6306473364801
12,375.1935970499497
13,378.04645962732917
14,374.83032035651223
15,372.96328437917225
16,375.33675770483586
17,377.5164715719064
18,375.10934244520377
19,375.74226205294167
20,376.2524690845713
21,377.10336437620606
22,375.3322800598703
23,374.86864371282564
24,376.99649415692824
25,378.5470165044435
26,376.1920584814753
27,376.7497719167289
28,379.1346986346986
29,376.00900446015316
30,376.61126095751854
